F56	F91	F101	F98	F26	F54	F11	F40	F17	F52	F34	F82	F74	F22	F53	F75	F36	F92	F63	F64	F59	F69	O1	F89	F67	F104	F31	F68	F16	F76	F15	F47	F14	F42	F21	F50	F32	F87	F25	F58	F39	F61	F12	F60	F100	F23	F70	F37	F84	F20	F95	F90	F30	F79	F94	F71	F102	F44	F103	F18	F45	F33	F88	F19	F51	F65	F93	F29	F81	F49	F38	F83	F27	F55	F43	F97	F96	F28	F62	F99	F35	F78	F85	F86	F57	F13	F41	F48	F24	F80	F66	F72	F73	F77
aadA1 2_FJ591054	0	0	0.0514	0.0375	0	0.0617	0	0.0216	0.0307	0	0	0	0.0188	0	0	0	0	0	0	0.0245	0.0235	0.0425	0	0	0	0	0	0	0	0.0278	0	0	0	0	0.0491	0	0.0941	0.1545	0	0	0	0.1121	0	0	0	0	0	0.1521	0.0819	0	0	0	0	0	0	0	0	0	0	0	0.0938	0.0429	0.0441	0	0	0	0	0	0	0.0293	0	0	0.0544	0.0492	0	0	0.0483	0	0	0	0	0.0123	0	0	0	0	0	0.0625	0	0	0	0	0.0182	0
aadA1 2_JN815078	0	0.0577	0	0.075	0.0426	0	0	0	0.0307	0.0364	0	0.2079	0.1126	0	0	0	0	0.0508	0.0484	0.049	0.0235	0.085	0	0.046	0.0281	0	0	0	0	0.0278	0.0947	0	0	0.1309	0.0491	0	0	0.103	0	0	0	0.0374	0	0	0.074	0	0.0239	0	0	0	0	0	0.0788	0	0	0	0	0	0	0.0543	0	0.0429	0	0	0	0	0.0846	0	0	0.0146	0	0	0	0	0	0	0.0241	0	0	0	0	0	0	0	0.032	0.0892	0	0.0208	0	0	0	0.0543	0.0182	0.048
aadA1 3_JQ414041	0.0336	0	0.0514	0.075	0	0	0	0	0.0307	0.0728	0	0	0.0938	0	0	0	0	0	0	0.0367	0.0235	0	0	0	0.0281	0	0	0	0.06	0	0	0	0	0	0.1965	0.0551	0.0471	0	0	0	0	0	0	0.1237	0.037	0	0	0	0	0	0	0	0	0.1672	0	0	0	0	0	0	0	0	0.2203	0	0	0.0151	0	0	0	0.0585	0	0	0.0544	0	0	0	0.0483	0	0	0	0.1154	0.0123	0	0.067	0.032	0.0892	0.0664	0	0	0	0	0	0.0363	0
aadA1 4_M95287	0.0336	0	0.1028	0.1875	0	0	0	0	0.0307	0.0728	0	0	0.2439	0	0	0.0966	0.2375	0.2031	0	0.2325	0.0471	0	0	0	0	0	0	0	0	0.2224	0	0	0.1008	0.2619	0.0491	0.0551	0	0	0	0	0.0502	0	0	0	0	0	0.0478	0.1521	0.2457	0.108	0	0	0	0	0	0.0189	0	0	0.0564	0.1087	0	0	0	0	0	0.0452	0.0846	0	0	0	0	0	0	0	0.1025	0.1217	0.0241	0	0	0.0715	0	0.0246	0	0	0.064	0.0446	0.0332	0.0625	0.0641	0	0	0	0	0
aadA1 5_JQ480156	0	0.058	0	0	0	0.062	0	0	0.0309	0.0366	0	0.1045	0.0754	0.0803	0	0	0	0.1021	0	0.0615	0.0473	0.0427	0	0.0462	0.0566	0	0	0	0	0.0279	0	0.0234	0	0	0	0.0554	0	0	0	0	0	0	0	0.0414	0	0	0	0	0	0.1085	0	0	0.0792	0	0	0.0569	0.0523	0	0	0	0	0	0.0443	0	0	0.0151	0.0425	0.0398	0	0.0294	0	0	0	0.0494	0	0.0612	0.0243	0	0.03	0	0	0.0124	0	0	0.0482	0.0448	0.0668	0	0.0644	0	0.0227	0.0545	0	0
aadA1 5_JX185132	0	0	0	0.0375	0	0.0617	0	0	0.0307	0.0728	0	0.104	0.1501	0.1598	0	0	0	0	0	0.0612	0.0235	0	0	0	0.1126	0	0	0	0	0.0556	0	0.0466	0	0	0.0491	0.0551	0.2353	0	0	0	0.0502	0.1121	0.0618	0.0412	0	0.0673	0	0	0	0	0	0	0	0	0	0.0566	0	0	0.0564	0	0	0.0429	0	0.0982	0	0.0452	0.0423	0.0396	0.0848	0.0439	0	0	0.1088	0	0	0	0.0483	0	0	0	0	0.0369	0	0	0.048	0	0	0.0208	0.0641	0.0782	0.0452	0.1085	0.0182	0
aadA21 1_AY171244	0	0	0	0	0	0	0	0	0	0	0	0	0.0563	0	0	0	0	0	0	0.0245	0.0471	0	0	0	0	0	0	0.0363	0.06	0	0	0	0	0.1309	0	0.1101	0.0471	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0467	0	0	0	0	0	0	0	0	0	0	0.0151	0	0	0	0.0146	0	0	0	0	0	0	0	0	0.0299	0	0	0	0	0	0	0	0	0	0	0	0.0226	0	0.0182	0
aadA22 1_AM261837	0	0.0577	0.0514	0	0	0	0	0	0.0307	0.0364	0	0	0.0938	0.0799	0.0245	0	0	0	0	0.0245	0.0235	0	0	0.046	0	0	0	0	0	0	0.0947	0	0	0.1309	0	0.1101	0	0	0	0.0385	0	0	0.0618	0	0	0	0.0239	0	0.0819	0	0	0	0	0.0836	0	0	0	0.053	0.0564	0	0	0	0.0441	0.0491	0	0.0151	0	0.0396	0	0.0146	0	0	0	0	0	0.0609	0.0965	0	0	0	0	0	0	0	0.016	0	0.0332	0.0417	0	0	0	0	0	0
aadA23 1_AJ809407	0	0	0	0	0	0	0	0	0.0314	0	0	0	0.0191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1336	0	0.0562	0.0961	0	0	0	0	0.0381	0	0	0.0378	0	0	0	0	0.0551	0	0	0	0.0854	0	0	0	0	0	0	0	0	0	0	0	0.0307	0	0	0	0.0149	0	0	0.0555	0.0502	0.0261	0	0.0246	0	0.0609	0	0	0.0126	0	0	0	0	0	0.0213	0	0	0.0231	0	0	0.0245
aadA24 1_AM711129	0	0	0	0	0	0	0	0	0	0.0371	0	0	0	0	0	0	0	0	0	0.0125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0393	0	0	0	0	0	0	0.0488	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0448	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0327	0	0	0	0	0	0.0462	0.0554	0	0
aadA2 1_X68227	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0687	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1405	0	0	0	0	0	0	0	0	0	0.0251	0	0	0.0163	0	0	0.0213	0	0	0	0	0	0
aadA2 2_JQ364967	0	0	0	0	0	0	0	0.0216	0	0	0	0	0	0	0	0	0	0	0.0242	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1376	0	0	0	0	0	0	0	0	0	0	0	0	0.016	0	0.0332	0	0	0	0	0	0	0.024
aadA3 1_AF047479	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0299	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aadA4 1_Z50802	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0372	0	0	0	0	0	0	0	0	0	0	0.019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0209	0	0	0	0	0	0
aadA5 1_AF137361	0	0	0	0	0	0	0	0.0217	0	0.0366	0	0	0	0	0.0246	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0372	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0425	0	0	0	0	0	0	0	0	0	0	0	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aadA6 1_AF140629	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0655	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aadA7 1_AF224733	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aadA8 1_AF326210	0	0	0.0514	0	0	0.0617	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0235	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0492	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aadA8b 1_AM040708	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0235	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0374	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0189	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aadA9 1_AJ420072	0	0	0	0	0	0	0	0.0201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aadB 1_JN119852	0	0	0	0	0	0	0	0	0	0.0645	0	0	0.0332	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0656	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aadD 1_AF181950	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0534	0	0	0	0	0.0641	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aadE 1_KF421157	0.84	0.5661	0.8711	0.3343	0.9884	0.88	2.2905	1.4838	0.2466	0.0649	1.0297	1.1124	1.0035	0.4273	0.6325	0.6031	2.1173	0.7242	0.3887	0.3055	0.252	0.3031	0.794	0.9024	0.8031	0.6572	0.7553	0.6803	0.4276	1.1899	0.4643	0.5197	0.5391	0.4669	0.1752	0.5401	0.4616	0.505	0.8532	0.6183	1.2081	0.4662	0.4962	0.4411	0.3959	0.78	0.8745	1.2208	1.1685	1.107	0.583	0.5142	0.9838	0.5965	0.4579	0.3195	0.8347	0.6619	0.201	0.6782	1.5052	1.0714	0.6285	0.2189	0.1961	0.2954	1.81	1.4833	0.8694	0.3001	0	0.7362	0.5334	0.2631	0.845	0.8682	0.6455	0.5716	0.346	1.9127	0.3601	0.3292	0.8674	0.7767	0.5705	0.517	1.0068	1.8016	0.6282	0.6973	0.4032	0.6289	0.3075	0.2783
ampS 1_X80276	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0159	0	0	0	0	0	0	0	0	0
ant(3 _)-Ih-aac(6_)-IId_1_AF453998	0	0.0287	0.0255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.018	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0184	0	0.0119	0	0	0	0.025	0	0	0	0.0232	0	0	0	0.028	0	0	0	0.0219	0	0	0	0.021	0	0	0	0	0	0	0	0	0	0.012	0	0.0148	0.0355	0	0	0	0	0.0079	0	0	0	0	0	0	0	0	0
ant(6)-Ia 1_AF330699	0.8429	1.1086	2.8338	1.5653	1.7802	1.0817	1.6404	1.8408	0.2309	0.5165	1.768	1.8231	1.817	0.2668	0.8579	1.6945	1.3881	1.6956	0.9709	1.165	1.0815	0.8869	0.8498	0.8835	1.5042	0.8463	1.0425	1.3046	0.6007	2.7163	0.6721	1.0318	0.3787	0.8746	0.164	0.4598	1.179	1.2898	1.3318	0.7721	1.6343	0.8109	0.4647	0.895	1.0506	0.7305	0.759	0.8893	1.1627	1.4424	1.596	0.6261	0.9214	1.8853	1.1305	1.1341	1.1292	0.6199	1.4591	1.4517	0.9398	2.1143	1.3611	0.492	0.6427	1.2323	3.037	1.4884	1.239	1.1974	1.2595	0.9194	0.8628	0.6571	1.0481	0.8131	1.4307	1.3681	1.0219	0.8957	1.2527	0.7091	1.1283	0.8952	1.4158	0.5959	1.1093	1.0436	0.7488	0.5877	0.7929	0.4531	0.5304	0.381
ant(6)-Ib 1_FN594949	3.9054	1.9217	5.598	5.1946	3.7212	6.1608	0.9517	3.0724	0.553	3.3721	2.0205	3.1805	6.0253	1.2936	4.0496	4.3472	6.1963	8.2214	5.819	8.5006	4.3435	1.7584	1.8695	5.2154	8.4332	3.1087	4.5333	5.0019	1.4563	8.3051	1.2353	5.4748	1.5414	5.183	0.8396	3.2206	8.2154	7.1803	3.3484	6.7248	2.7995	3.6967	1.2796	4.3025	4.5947	0.7871	5.23	8.2132	7.7382	1.6514	4.5255	2.6983	4.3257	4.5894	2.8982	3.9714	2.4802	1.8606	3.8545	0.831	4.81	6.3327	8.1255	0.486	2.8691	4.9455	4.7944	7.8764	7.7434	3.8444	7.4642	4.8292	1.1254	1.77	6.5223	3.7782	5.5801	5.2555	6.3918	2.8952	1.4017	2.2147	4.2794	3.1349	4.8643	1.4447	5.4984	2.3803	1.0374	1.1258	1.2409	1.1228	0.9634	0.6914
aph(2 _)-Ib_1_AF337947	0	0	0	0.0317	0.0361	0	0	0.0183	0.026	0	0	0.0879	0.0476	0	0	0.0545	0	0.0429	0	0.0311	0.0199	0	0.0359	0.0778	0.0238	0.039	0	0.0615	0	0.0235	0.04	0	0	0	0	0	0	0.0435	0	0.0652	0	0	0.0523	0.0349	0	0	0	0.2573	0.0693	0	0	0	0	0.0707	0.0395	0.0319	0	0	0	0	0	0.0363	0.0373	0	0	0	0.0715	0	0.1793	0.0248	0	0	0	0	0.0217	0	0.0408	0	0	0	0	0	0	0.34	0.0406	0	0.0843	0.0176	0	0.0661	0	0	0	0
aph(2 _)-Ic_1_U51479	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0437	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aph(2 _)-Id_1_AF016483	0	0.0484	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0844	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aph(3 )-III_1_M26832	1.7744	2.5846	5.8837	4.7748	7.4667	4.051	4.7614	3.5052	4.4031	2.9327	4.788	4.1379	7.8391	2.861	0.8762	5.128	4.7257	4.0409	2.0486	3.1538	2.2025	3.0438	3.5021	2.1514	5.0411	2.6586	4.3034	2.7838	1.2526	8.9909	3.0149	2.5517	2.7574	2.4751	2.4435	2.2465	3.6997	4.9692	3.7029	2.2617	2.7464	1.9697	10.7052	5.3733	2.6879	2.4105	1.4995	3.6331	3.586	7.7347	3.4532	2.8119	1.9605	2.0801	2.7405	2.2147	1.7078	2.5324	3.7018	4.4868	3.1729	6.5335	4.4272	4.4947	3.3918	2.6821	5.8071	4.0596	3.3747	2.7954	2.2512	2.3279	1.8939	1.2723	2.5742	2.7855	3.4817	4.4299	3.2967	3.8422	2.5835	1.7144	2.4738	2.0668	3.5173	3.639	3.6021	2.3214	2.4857	1.7898	1.6197	1.0258	1.3363	0.908
aph(3 )-IIa_1_X57709	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aph(3 )-Ia_1_V00359	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0174	0
aph(3 )-Ic_1_X62115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aph(4)-Ia 1_V01499	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
blaACI-1 1_AJ007350	1.0949	4.8	1.7661	4.4052	5.2027	3.0109	1.9122	0.7814	3.1665	1.3485	2.0877	1.8794	1.4581	2.3102	1.1276	2.3291	1.2879	1.8812	1.7077	1.792	3.4481	0.8064	1.8014	1.8712	1.4756	1.499	1.8539	1.3465	2.6551	2.9905	2.7815	2.5076	0.9564	0.4733	2.8412	1.8416	3.9989	1.7218	2.0663	2.4376	2.7216	2.7008	9.1098	3.6143	0.669	1.0948	0.8216	3.8504	2.5912	3.757	1.0911	1.4075	2.1371	1.8895	5.5275	1.6026	4.0429	4.6488	1.1209	3.7321	1.7802	2.0947	2.5882	5.4588	0.5963	5.322	2.8669	2.2198	3.3338	1.7458	0	2.3635	3.2442	1.378	0.8566	0.4401	2.6175	2.1247	1.268	2.1975	2.2425	0.9455	2.0518	1.8169	1.4168	3.0638	2.2215	1.7134	3.4739	3.2516	1.6348	2.0598	0.5742	0.8682
blaACT-9 1_HQ693810	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0077	0	0	0	0	0	0	0	0	0	0	0	0
blaCARB-10 1_EU850412	0	0	0	0	0	0.1048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0192	0	0	0
blaCARB-11 1_AY008290	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.054	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
blaCARB-2 1_M69058	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0381	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
blaCARB-3 1_S46063	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0267	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0592	0	0	0	0	0	0	0	0	0	0	0	0	0	0
blaCARB-5 1_AF135373	0	0	0	0	0	0.0524	0	0	0	0.0309	0	0.0883	0	0	0	0	0	0	0	0	0	0.0361	0	0	0	0	0	0.0309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0418	0	0	0	0	0	0	0	0	0	0	0.0136	0	0	0	0	0	0	0	0	0
blaCARB-8 1_AY178993	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0206	0	0	0	0	0	0	0	0	0	0	0.0236	0	0	0	0	0	0	0	0	0	0	0	0	0.0525	0.035	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0467	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0204
blaCMY-22 1_DQ256079	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0
blaCMY-64 1_HQ832678	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
blaCMY-70 1_JX440350	0	0	0.0322	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
blaCMY-73 1_GQ351345	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0344	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
blaCMY-83 1_JX440351	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0241	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
blaCMY-99 1_KF305673	0	0	0	0	0	0	0	0	0	0	0	0	0.0117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
blaCTX-M-82 1_DQ256091	0.0295	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
blaDES-1 1_AF426161	0	0	0	0	0	0	0.0385	0	0	0	0	0	0	0	0	0	0	0	0	0.0093	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
blaFOX-4 1_AJ277535	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0321	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0275	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
blaGES-12 1_FN554543	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
blaGES-20 1_JN596280	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0377	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
blaGES-3 1_AB113580	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.049	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
